proc,label,mean,median,p95,n
draft,draft_glue_replay,4.868,4.722,6.178,5
draft,draft_recv_cmd,0.076,0.079,0.113,7
draft,draft_send_response,0.957,0.925,1.196,5
draft,glue,7.62,9.025,9.253,5
draft,hit_cache_respond,35.915,42.281,49.867,5
draft,merge_cache,0.244,0.243,0.273,5
draft,phase1_build,0.404,0.45,0.493,5
draft,phase1_prep,1.208,0.203,7.366,75
draft,phase1_replay,5.672,5.029,7.319,75
draft,phase2_build,5.39,4.787,8.601,5
draft,phase2_prep,1.044,0.865,3.926,75
draft,phase2_replay,5.172,4.651,6.599,75
draft,proxy_wait,0.007,0.006,0.011,5
target,exit_logits,1.406,1.059,2.205,5
target,final_logits,1.119,1.229,1.54,5
target,graph_post,10.319,10.743,11.865,5
target,graph_pre,27.179,28.431,30.6,5
target,proxy_compute_send,0.872,0.973,1.237,5
target,target_postprocess,0.104,0.097,0.154,5
target,target_spec_wait,121.502,123.834,140.224,5
target,verify_sample_accept,1.377,1.374,1.676,5
target,verify_setup,0.366,0.398,0.409,5
