k,f,decode_tps,prefill_tps,target_full_step_ms,target_verify_ms,draft_step_ms,avg_tokens_per_step,accept_fraction,cache_hit_rate,tok_per_step_on_hit,tok_per_step_on_miss,error
7,3,80.35,479.91,52.99,45.26,33.76,4.15,0.45,0.66,,,
7,4,82.99,478.19,51.32,44.32,33.5,4.15,0.45,0.7,,,
7,5,81.07,478.23,51.16,44.46,38.35,4.04,0.43,0.72,,,
7,6,83.65,479.42,50.87,44.58,38.55,4.15,0.45,0.76,,,
8,3,79.68,479.57,54.67,46.32,38.62,4.25,0.41,0.64,,,
8,4,79.22,478.64,55.17,47.25,44.26,4.26,0.41,0.69,,,
8,5,81.79,478.22,54.51,47.22,44.24,4.35,0.42,0.73,,,
8,6,77.94,478.44,56.3,46.82,49.69,4.28,0.41,0.75,,,
9,3,78.55,478.56,57.05,47.79,43.85,4.37,0.37,0.63,,,
9,4,80.38,478.94,57.43,48.82,49.97,4.5,0.39,0.69,,,
9,5,71.94,478.85,62.98,48.94,56.37,4.43,0.38,0.71,,,
9,6,73.36,479.32,63.3,47.51,56.56,4.54,0.39,0.74,,,
10,3,75.32,479.01,62.0,50.47,56.19,4.56,0.36,0.62,,,
10,4,73.93,479.33,62.19,50.97,56.36,4.49,0.35,0.67,,,
10,5,65.75,478.59,70.34,50.91,63.61,4.53,0.35,0.7,,,
10,6,57.66,478.93,81.69,49.64,73.76,4.63,0.36,0.74,,,
