k,position_count,method,avg_position_budget,total_cache_roots,weighted_cache_hit_rate,verify_steps,requests,complete
9,10,duet,2,20,0.7899868247694335,3795,35,True
9,10,duet,3,30,0.8116994022203246,4684,35,True
9,10,duet,4,40,0.8078962875662935,5091,35,True
9,10,duet,5,50,0.8310291858678955,3906,35,True
9,10,duet,6,60,0.828096947935368,4456,35,True
9,10,duet,7,70,0.7943709304767906,4761,35,True
9,10,duet,8,80,0.8469436485195797,4188,35,True
9,10,only_proxy,2,20,0.7803440961583785,4243,35,True
9,10,only_proxy,3,30,0.6972660591242499,4499,35,True
9,10,only_proxy,4,40,0.8001495140792425,4013,35,True
9,10,only_proxy,5,50,0.7336512261580381,4404,35,True
9,10,only_proxy,6,60,0.7741626794258373,4180,35,True
9,10,only_proxy,7,70,0.777099609375,4096,35,True
9,10,only_proxy,8,80,0.7406405051871899,4434,35,True
9,10,geo,2,20,0.6279363475625158,3959,35,True
9,10,geo,3,30,0.6605504587155964,4033,35,True
9,10,geo,4,40,0.7413383958234456,4214,35,True
9,10,geo,5,50,0.7554424653661295,3537,35,True
9,10,geo,6,60,0.8008307826847398,4574,35,True
9,10,geo,7,70,0.793849938499385,4065,35,True
9,10,geo,8,80,0.8447995666305526,3692,35,True
9,10,uniform,2,20,0.6331838565022422,4460,35,True
9,10,uniform,3,30,0.7082675092153765,3798,35,True
9,10,uniform,4,40,0.7058142228399351,4317,35,True
9,10,uniform,5,50,0.7487857528332433,3706,35,True
9,10,uniform,6,60,0.7668523676880222,3590,35,True
9,10,uniform,7,70,0.8056937534549475,3618,35,True
9,10,uniform,8,80,0.7903342149555181,4159,35,True
