dfo,pfo,f,decode_tps,prefill_tps,target_full_step_ms,target_verify_ms,draft_step_ms,avg_tokens_per_step,accept_fraction,cache_hit_rate,tok_per_step_on_hit,tok_per_step_on_miss,p1_hit,p2_hit,p1_acceptance,p2_acceptance,p1_avg_accepted_len,p2_avg_accepted_len,error
2,1,3,77.94,478.9,54.52,47.75,51.42,4.15,0.45,0.8,,,,,,,,,
2,2,4,71.14,479.03,59.14,49.46,55.63,4.11,0.44,0.82,,,,,,,,,
2,3,5,,,,,,,,,,,,,,,,,decode_tps not parsed
3,1,4,75.38,479.15,54.81,48.27,51.71,4.04,0.43,0.82,,,,,,,,,
3,2,5,,,,,,,,,,,,,,,,,decode_tps not parsed
3,3,6,,,,,,,,,,,,,,,,,decode_tps not parsed
4,1,5,,,,,,,,,,,,,,,,,decode_tps not parsed
4,2,6,,,,,,,,,,,,,,,,,decode_tps not parsed
4,3,7,,,,,,,,,,,,,,,,,decode_tps not parsed
5,1,6,,,,,,,,,,,,,,,,,decode_tps not parsed
5,2,7,,,,,,,,,,,,,,,,,decode_tps not parsed
5,3,8,,,,,,,,,,,,,,,,,decode_tps not parsed
