dataset,seed,requests,arm,k1,c,n1,m1,p1_al,tokens_per_step,target_step_ms,target_verify_ms,decode_tps
smoke21,42,21,p2_only,8,0,0,0,4.023077,4.391554,67.092464,61.636961,66.203760
smoke21,42,21,p1_global_dynamic,8,3,14,12,3.894490,4.215403,71.103884,62.829525,60.038941
smoke21,42,21,p1_full_backbone,8,3,14,12,4.040757,4.208620,71.493615,62.856281,59.673147
smoke21,42,21,p1_full_backbone,8,2,14,12,4.934059,4.938971,71.798636,63.253498,69.673049
smoke21,42,21,p2_only,9,0,0,0,5.023010,5.147228,68.006200,62.116010,76.814080
smoke21,42,21,p1_full_backbone,9,2,14,12,4.919428,4.873844,71.384593,62.915129,69.154601
tiny7,123,7,p2_only,8,0,0,0,4.004320,4.211749,68.183175,61.523923,62.743542
tiny7,123,7,p1_budgeted_backbone_old,8,3,14,12,3.423990,3.707958,70.828144,62.678896,52.755213
tiny7,123,7,p1_full_backbone,8,3,14,12,4.658627,4.862245,71.751683,63.366021,68.698151
tiny7,123,7,p1_full_backbone,8,2,14,12,4.805714,4.913843,72.084774,63.575150,68.884647
tiny7,123,7,p1_full_backbone,8,3,14,10,3.523020,3.780942,69.927851,62.122716,54.745884
tiny7,123,7,p1_full_backbone,8,3,12,12,4.403419,4.561060,71.181775,63.273256,64.782718
tiny7,123,7,p1_full_backbone,9,2,14,12,5.523013,5.400844,73.040926,63.519444,75.046289
tiny7,123,7,p1_full_backbone,10,2,14,12,4.283361,4.233840,71.560242,62.837387,59.757754
