arm,source,group,question_mean_fresh_al,ci95_low,ci95_high,events
chain,P1,math_reasoning,4.307526454320055,3.949658206875612,4.695110334214956,998
chain,P1,mt_bench,3.6869842981496577,3.29135970020913,4.114611939331667,1944
chain,P1,qa,3.5729736920838433,3.187474954428562,3.9816856000673555,1313
chain,P1,rag,4.393228638722308,3.7884204635474235,5.028603019889376,1192
chain,P1,summarization,4.987951886650254,3.846457540336445,6.137468074612115,602
chain,P1,translation,5.206401331066884,4.388148291157156,6.101054572397717,1037
chain,P2,math_reasoning,3.30859360926548,2.942838530033652,3.7163843607816442,322
chain,P2,mt_bench,2.763588885178779,2.4318869744659217,3.1616732209921063,674
chain,P2,qa,3.6030191568509986,3.09548040230585,4.223540075474858,458
chain,P2,rag,3.672839460073534,3.1746033807447773,4.220504782813055,322
chain,P2,summarization,4.534286205811198,3.3634958681001286,5.782303032734275,134
chain,P2,translation,3.3606822160682457,2.6602083333333333,4.182988763687293,236
chain,Miss (fresh JIT),math_reasoning,2.727633614270559,2.208270676691729,3.3089789691620357,209
chain,Miss (fresh JIT),mt_bench,2.5051666076889862,2.2410701287203847,2.7732318934262667,480
chain,Miss (fresh JIT),qa,2.830856288564314,2.5183807792291812,3.161912135628599,384
chain,Miss (fresh JIT),rag,3.0529192843064794,2.4546732569598424,3.7617524275146224,359
chain,Miss (fresh JIT),summarization,3.034421460892049,2.197769877181642,4.031857358327947,122
chain,Miss (fresh JIT),translation,2.7640165791810527,2.2816723627249944,3.2814463716108455,279
