arm,uid,question_key,group,seed,event_index,source_id,source,cached_accepted_len,valid_k,fresh_greedy_al,fresh_first_token_nll,fresh_first_token_rank,completion_offset
chain,82_t0,mt_bench:82,mt_bench,42,0,0,Miss (fresh JIT),1,8,1,6.201144218444824,31,1
chain,82_t0,mt_bench:82,mt_bench,42,1,2,P2,5,8,1,4.567980766296387,9,2
chain,82_t0,mt_bench:82,mt_bench,42,2,0,Miss (fresh JIT),1,8,1,2.341165065765381,4,7
chain,82_t0,mt_bench:82,mt_bench,42,3,1,P1,4,8,4,0.9645140767097473,1,8
chain,82_t0,mt_bench:82,mt_bench,42,4,2,P2,2,8,1,3.067612648010254,3,12
chain,82_t0,mt_bench:82,mt_bench,42,5,1,P1,9,8,2,0.42915424704551697,1,14
chain,82_t0,mt_bench:82,mt_bench,42,6,1,P1,3,8,2,0.0025006234645843506,1,23
chain,82_t0,mt_bench:82,mt_bench,42,7,2,P2,5,8,1,3.1505022048950195,3,26
chain,82_t0,mt_bench:82,mt_bench,42,8,2,P2,2,8,1,2.5386056900024414,2,31
chain,82_t0,mt_bench:82,mt_bench,42,9,1,P1,2,8,2,0.5343863368034363,1,33
chain,82_t0,mt_bench:82,mt_bench,42,10,2,P2,6,8,6,0.4668486416339874,1,35
chain,82_t0,mt_bench:82,mt_bench,42,11,1,P1,4,8,1,6.126062393188477,73,41
chain,82_t0,mt_bench:82,mt_bench,42,12,0,Miss (fresh JIT),3,8,1,2.3997931480407715,2,45
chain,82_t1,mt_bench:82,mt_bench,42,0,0,Miss (fresh JIT),1,8,1,8.070940017700195,149,1
chain,82_t1,mt_bench:82,mt_bench,42,1,0,Miss (fresh JIT),3,8,1,5.45630407333374,24,2
chain,82_t1,mt_bench:82,mt_bench,42,2,1,P1,1,8,1,2.5891616344451904,2,5
chain,82_t1,mt_bench:82,mt_bench,42,3,1,P1,1,8,1,3.4610695838928223,7,6
chain,82_t1,mt_bench:82,mt_bench,42,4,2,P2,4,8,2,0.27987968921661377,1,7
chain,82_t1,mt_bench:82,mt_bench,42,5,1,P1,2,8,1,3.8745059967041016,13,11
chain,82_t1,mt_bench:82,mt_bench,42,6,2,P2,6,8,4,0.0018422313733026385,1,13
chain,82_t1,mt_bench:82,mt_bench,42,7,0,Miss (fresh JIT),1,8,1,1.5387078523635864,2,19
chain,82_t1,mt_bench:82,mt_bench,42,8,1,P1,2,8,2,1.700044870376587,1,20
chain,82_t1,mt_bench:82,mt_bench,42,9,1,P1,2,8,2,2.299537181854248,1,22
chain,82_t1,mt_bench:82,mt_bench,42,10,2,P2,2,8,2,0.21519818902015686,1,24
chain,82_t1,mt_bench:82,mt_bench,42,11,1,P1,3,8,1,6.3267316818237305,64,26
chain,82_t1,mt_bench:82,mt_bench,42,12,2,P2,6,8,3,0.017259517684578896,1,29
chain,82_t1,mt_bench:82,mt_bench,42,13,2,P2,9,8,2,1.9813568592071533,1,35
chain,82_t1,mt_bench:82,mt_bench,42,14,1,P1,9,8,3,0.5575386881828308,1,44
chain,82_t1,mt_bench:82,mt_bench,42,15,1,P1,2,8,1,1.0268878936767578,2,53
chain,82_t1,mt_bench:82,mt_bench,42,16,2,P2,5,8,1,3.0449962615966797,5,55
chain,82_t1,mt_bench:82,mt_bench,42,17,0,Miss (fresh JIT),4,8,1,9.237483978271484,568,60
chain,82_t1,mt_bench:82,mt_bench,42,18,1,P1,8,8,4,0.39042365550994873,1,64
chain,82_t1,mt_bench:82,mt_bench,42,19,0,Miss (fresh JIT),3,8,3,0.15070883929729462,1,72
chain,82_t1,mt_bench:82,mt_bench,42,20,2,P2,3,8,3,0.6167988777160645,1,75
chain,82_t1,mt_bench:82,mt_bench,42,21,1,P1,8,8,3,0.34321480989456177,1,78
chain,82_t1,mt_bench:82,mt_bench,42,22,0,Miss (fresh JIT),1,8,1,3.328594446182251,5,86
chain,82_t1,mt_bench:82,mt_bench,42,23,1,P1,9,8,7,0.3541923463344574,1,87
chain,82_t1,mt_bench:82,mt_bench,42,24,1,P1,1,8,1,7.103725910186768,32,96
chain,82_t1,mt_bench:82,mt_bench,42,25,0,Miss (fresh JIT),5,8,3,0.00013136000779923052,1,97
chain,82_t1,mt_bench:82,mt_bench,42,26,1,P1,1,8,1,2.014098644256592,2,102
chain,82_t1,mt_bench:82,mt_bench,42,27,1,P1,7,8,5,0.0560075081884861,1,103
chain,82_t1,mt_bench:82,mt_bench,42,28,2,P2,9,8,5,0.03532366082072258,1,110
chain,82_t1,mt_bench:82,mt_bench,42,29,1,P1,2,8,2,0.004803664516657591,1,119
chain,82_t1,mt_bench:82,mt_bench,42,30,0,Miss (fresh JIT),2,8,2,1.1692441701889038,1,121
chain,82_t1,mt_bench:82,mt_bench,42,31,0,Miss (fresh JIT),3,8,3,1.9127769470214844,1,123
chain,82_t1,mt_bench:82,mt_bench,42,32,1,P1,1,8,1,3.506962299346924,3,126
chain,82_t1,mt_bench:82,mt_bench,42,33,1,P1,8,8,8,0.08798129856586456,1,127
chain,82_t1,mt_bench:82,mt_bench,42,34,2,P2,4,8,2,0.4385104477405548,1,135
chain,82_t1,mt_bench:82,mt_bench,42,35,2,P2,3,8,3,0.09642992168664932,1,139
chain,82_t1,mt_bench:82,mt_bench,42,36,1,P1,7,8,2,0.6665717959403992,1,142
chain,82_t1,mt_bench:82,mt_bench,42,37,0,Miss (fresh JIT),9,8,9,0.36897051334381104,1,149
chain,82_t1,mt_bench:82,mt_bench,42,38,1,P1,4,8,4,0.25597459077835083,1,158
chain,82_t1,mt_bench:82,mt_bench,42,39,1,P1,8,8,5,0.010068579576909542,1,162
chain,82_t1,mt_bench:82,mt_bench,42,40,1,P1,4,8,6,1.285582184791565,1,170
chain,82_t1,mt_bench:82,mt_bench,42,41,1,P1,3,8,2,0.5742339491844177,1,174
chain,82_t1,mt_bench:82,mt_bench,42,42,0,Miss (fresh JIT),3,8,3,0.0415530800819397,1,177
chain,82_t1,mt_bench:82,mt_bench,42,43,2,P2,1,8,1,2.6137900352478027,4,180
chain,82_t1,mt_bench:82,mt_bench,42,44,1,P1,3,8,3,0.03548463433980942,1,181
chain,82_t1,mt_bench:82,mt_bench,42,45,1,P1,3,8,1,2.972329616546631,5,184
chain,82_t1,mt_bench:82,mt_bench,42,46,2,P2,8,8,3,0.16231416165828705,1,187
chain,82_t1,mt_bench:82,mt_bench,42,47,1,P1,8,8,1,2.0930678844451904,2,195
chain,82_t1,mt_bench:82,mt_bench,42,48,1,P1,3,8,3,0.06336956471204758,1,203
chain,82_t1,mt_bench:82,mt_bench,42,49,1,P1,5,8,5,0.5575617551803589,1,206
chain,82_t1,mt_bench:82,mt_bench,42,50,2,P2,5,8,2,0.9867133498191833,1,211
chain,82_t1,mt_bench:82,mt_bench,42,51,1,P1,1,8,1,3.91796875,5,216
chain,82_t1,mt_bench:82,mt_bench,42,52,2,P2,3,8,3,0.28106948733329773,1,217
chain,82_t1,mt_bench:82,mt_bench,42,53,0,Miss (fresh JIT),1,8,1,1.2339062690734863,2,220
chain,82_t1,mt_bench:82,mt_bench,42,54,1,P1,1,8,5,0.22145813703536987,1,221
chain,82_t1,mt_bench:82,mt_bench,42,55,1,P1,4,8,4,0.7761247754096985,1,222
chain,82_t1,mt_bench:82,mt_bench,42,56,1,P1,3,8,7,0.018862634897232056,1,226
chain,82_t1,mt_bench:82,mt_bench,42,57,1,P1,1,8,4,0.7553841471672058,1,229
chain,82_t1,mt_bench:82,mt_bench,42,58,1,P1,3,8,3,0.6376148462295532,1,230
chain,82_t1,mt_bench:82,mt_bench,42,59,0,Miss (fresh JIT),1,8,1,1.0067850351333618,2,233
chain,82_t1,mt_bench:82,mt_bench,42,60,1,P1,4,8,1,1.0353600978851318,2,234
chain,82_t1,mt_bench:82,mt_bench,42,61,0,Miss (fresh JIT),7,8,6,0.1066565215587616,1,238
chain,82_t1,mt_bench:82,mt_bench,42,62,1,P1,2,8,1,3.0748889446258545,6,245
chain,82_t1,mt_bench:82,mt_bench,42,63,1,P1,3,8,3,1.100538730621338,1,247
chain,82_t1,mt_bench:82,mt_bench,42,64,1,P1,5,8,5,0.7365343570709229,1,250
chain,82_t1,mt_bench:82,mt_bench,42,65,2,P2,5,8,5,0.009938872419297695,1,255
chain,82_t1,mt_bench:82,mt_bench,42,66,1,P1,3,8,9,0.21172192692756653,1,260
chain,82_t1,mt_bench:82,mt_bench,42,67,1,P1,6,8,8,0.9816701412200928,1,263
chain,82_t1,mt_bench:82,mt_bench,42,68,1,P1,4,8,2,0.3125630021095276,1,269
chain,82_t1,mt_bench:82,mt_bench,42,69,1,P1,1,8,1,1.9347769021987915,2,273
chain,82_t1,mt_bench:82,mt_bench,42,70,1,P1,1,8,1,2.3154234886169434,2,274
chain,82_t1,mt_bench:82,mt_bench,42,71,1,P1,1,8,1,3.158841609954834,2,275
chain,82_t1,mt_bench:82,mt_bench,42,72,1,P1,4,8,4,0.0643378347158432,1,276
