arm,source,group,events,questions,question_mean_al,ci95_low,ci95_high
chain,Miss (fresh JIT),mt_bench,486,20,3.164848539904032,2.8260417032503664,3.511416118552164
chain,Miss (fresh JIT),translation,283,20,3.649586038961039,2.9981066693722944,4.410993678196803
chain,Miss (fresh JIT),summarization,127,20,2.977132813423136,2.1093370037220844,3.9695088547205475
chain,Miss (fresh JIT),qa,387,20,3.631630190027375,3.2128054741944947,4.1011454621905425
chain,Miss (fresh JIT),math_reasoning,211,20,3.4182868089764638,2.7537531814449916,4.088727114121511
chain,Miss (fresh JIT),rag,361,20,3.4466133826057606,2.9318373126011466,4.009644089773968
chain,P1,mt_bench,1973,20,4.320216436266696,4.05179111470854,4.585125346510154
chain,P1,translation,1052,20,5.239131562902971,4.528635419196935,5.996551913560779
chain,P1,summarization,616,17,5.529716709385733,4.606171498390816,6.534565053967098
chain,P1,qa,1327,20,4.0976243820297595,3.7662922433555206,4.44413988717274
chain,P1,math_reasoning,1014,19,4.8646151594954645,4.409738301454821,5.3234833966194435
chain,P1,rag,1208,20,4.898689458892224,4.355804684969888,5.462561019613
chain,P2,mt_bench,679,20,3.5844601464699957,3.306708972033044,3.8685410074811193
chain,P2,translation,237,16,4.04042626437927,3.251049417667265,4.900208209642552
chain,P2,summarization,135,16,5.270297026865945,4.152350985122868,6.493670103230638
chain,P2,qa,461,20,3.8047413481600074,3.382182219864799,4.234671195497411
chain,P2,math_reasoning,324,18,3.6257923402448022,3.21672991770774,4.098342113814312
chain,P2,rag,324,20,4.067697874150491,3.510208745998903,4.692367593638546
