arm,source,group,question_mean_fresh_al,ci95_low,ci95_high,events
chain,P1,math_reasoning,4.307526454320055,3.949658206875612,4.695110334214956,998
chain,P1,mt_bench,3.6869842981496577,3.29135970020913,4.114611939331667,1944
chain,P1,qa,3.5729736920838433,3.187474954428562,3.9816856000673555,1313
chain,P1,rag,4.393228638722308,3.7884204635474235,5.028603019889376,1192
chain,P1,summarization,4.987951886650254,3.846457540336445,6.137468074612115,602
chain,P1,translation,5.206401331066884,4.388148291157156,6.101054572397717,1037
chain,P2,math_reasoning,3.30859360926548,2.942838530033652,3.7163843607816442,322
chain,P2,mt_bench,2.763588885178779,2.4318869744659217,3.1616732209921063,674
chain,P2,qa,3.6030191568509986,3.09548040230585,4.223540075474858,458
chain,P2,rag,3.672839460073534,3.1746033807447773,4.220504782813055,322
chain,P2,summarization,4.534286205811198,3.3634958681001286,5.782303032734275,134
chain,P2,translation,3.3606822160682457,2.6602083333333333,4.182988763687293,236
chain,Miss (fresh JIT),math_reasoning,2.727633614270559,2.208270676691729,3.3089789691620357,209
chain,Miss (fresh JIT),mt_bench,2.5051666076889862,2.2410701287203847,2.7732318934262667,480
chain,Miss (fresh JIT),qa,2.830856288564314,2.5183807792291812,3.161912135628599,384
chain,Miss (fresh JIT),rag,3.0529192843064794,2.4546732569598424,3.7617524275146224,359
chain,Miss (fresh JIT),summarization,3.034421460892049,2.197769877181642,4.031857358327947,122
chain,Miss (fresh JIT),translation,2.7640165791810527,2.2816723627249944,3.2814463716108455,279
tree,P1,math_reasoning,4.326769979683853,3.761815611749105,4.971864198575807,925
tree,P1,mt_bench,3.9180887037251706,3.382770960877285,4.540349306921597,2041
tree,P1,qa,4.232328328575426,3.660791058063347,4.844312805329441,1142
tree,P1,rag,4.715757625405731,4.033213854120418,5.435090779137698,947
tree,P1,summarization,3.6558335325247704,2.4786261182077425,5.01700001689265,470
tree,P1,translation,5.150573184700416,4.041752887359732,6.257615461893742,831
tree,P2,math_reasoning,3.4620408985151343,3.013194381350764,3.967215872988354,307
tree,P2,mt_bench,2.9310204918502203,2.650467981057991,3.2474964343315333,728
tree,P2,qa,3.871623462565039,3.218787964729542,4.657236652236652,345
tree,P2,rag,3.9458537857338163,3.429563492063492,4.482448107448107,228
tree,P2,summarization,3.539371950965809,2.271914131717708,5.044519582981122,145
tree,P2,translation,2.8946886446886446,2.250430941607412,3.6148459383753497,136
tree,Miss (fresh JIT),math_reasoning,2.427082188537297,2.0462381787459187,2.8272941712570194,231
tree,Miss (fresh JIT),mt_bench,2.683499732705973,2.4309443335460617,3.003935769214638,716
tree,Miss (fresh JIT),qa,3.0141684641698103,2.4125265061592294,3.721544909571225,346
tree,Miss (fresh JIT),rag,3.320714579256575,2.858168155772651,3.85316360641384,339
tree,Miss (fresh JIT),summarization,3.362896139963809,2.61003861003861,4.441666666666667,137
tree,Miss (fresh JIT),translation,2.180469383700808,1.6831991222858096,2.8170178863677315,276
