arm,source,group,events,questions,question_mean_al,ci95_low,ci95_high
chain,Miss (fresh JIT),mt_bench,486,20,3.164848539904032,2.8260417032503664,3.511416118552164
chain,Miss (fresh JIT),translation,283,20,3.649586038961039,2.9981066693722944,4.410993678196803
chain,Miss (fresh JIT),summarization,127,20,2.977132813423136,2.1093370037220844,3.9695088547205475
chain,Miss (fresh JIT),qa,387,20,3.631630190027375,3.2128054741944947,4.1011454621905425
chain,Miss (fresh JIT),math_reasoning,211,20,3.4182868089764638,2.7537531814449916,4.088727114121511
chain,Miss (fresh JIT),rag,361,20,3.4466133826057606,2.9318373126011466,4.009644089773968
chain,P1,mt_bench,1973,20,4.320216436266696,4.05179111470854,4.585125346510154
chain,P1,translation,1052,20,5.239131562902971,4.528635419196935,5.996551913560779
chain,P1,summarization,616,17,5.529716709385733,4.606171498390816,6.534565053967098
chain,P1,qa,1327,20,4.0976243820297595,3.7662922433555206,4.44413988717274
chain,P1,math_reasoning,1014,19,4.8646151594954645,4.409738301454821,5.3234833966194435
chain,P1,rag,1208,20,4.898689458892224,4.355804684969888,5.462561019613
chain,P2,mt_bench,679,20,3.5844601464699957,3.306708972033044,3.8685410074811193
chain,P2,translation,237,16,4.04042626437927,3.251049417667265,4.900208209642552
chain,P2,summarization,135,16,5.270297026865945,4.152350985122868,6.493670103230638
chain,P2,qa,461,20,3.8047413481600074,3.382182219864799,4.234671195497411
chain,P2,math_reasoning,324,18,3.6257923402448022,3.21672991770774,4.098342113814312
chain,P2,rag,324,20,4.067697874150491,3.510208745998903,4.692367593638546
tree,Miss (fresh JIT),mt_bench,722,20,3.550507022350673,3.3107545259226923,3.7873261116137
tree,Miss (fresh JIT),translation,279,20,2.5652532108414463,2.0738617171227465,3.0512466046004647
tree,Miss (fresh JIT),summarization,144,20,3.1302924541082437,2.3359616228070177,4.056803313181602
tree,Miss (fresh JIT),qa,346,20,3.2923918996125883,2.736066481713271,3.9059908998604476
tree,Miss (fresh JIT),math_reasoning,233,20,2.8682751859996443,2.3798725163725165,3.3867883322387966
tree,Miss (fresh JIT),rag,341,20,3.5937464086169713,2.7910457088183507,4.5106007263300345
tree,P1,mt_bench,2070,20,4.974613743048756,4.501885505025678,5.491638005194729
tree,P1,translation,847,19,5.426882077459051,4.41597049535235,6.450006266625947
tree,P1,summarization,479,14,4.836795707907762,3.954806460595934,5.827782100861473
tree,P1,qa,1160,20,5.12485382807468,4.6260660296852745,5.6401386569459495
tree,P1,math_reasoning,940,19,4.9182755841886285,4.433103034147921,5.485866043656961
tree,P1,rag,962,18,5.183574662193056,4.545874436852657,5.821314274657094
tree,P2,mt_bench,733,20,3.6866961373222624,3.414294593715371,3.975736549867844
tree,P2,translation,137,17,3.331959706959707,2.6799306453350566,4.0546960514975225
tree,P2,summarization,149,14,4.109987372875572,3.0543468449252607,5.333360151753009
tree,P2,qa,347,20,4.212306659157377,3.620809459116288,4.889576755679847
tree,P2,math_reasoning,310,18,4.133247408973362,3.7362643902835977,4.570084230371587
tree,P2,rag,231,18,4.351164219305774,3.811183872103097,4.916127024603331
