arm,uid,question_id,question_key,group,turn,seed,event_index,source_id,source,accepted_len,accepted_spec_len,valid_k,completion_offset,fully_observed
chain,82_t0,82,mt_bench:82,mt_bench,0,42,0,0,Miss (fresh JIT),1,0,8,1,1
chain,82_t0,82,mt_bench:82,mt_bench,0,42,1,2,P2,5,4,8,2,1
chain,82_t0,82,mt_bench:82,mt_bench,0,42,2,0,Miss (fresh JIT),1,0,8,7,1
chain,82_t0,82,mt_bench:82,mt_bench,0,42,3,1,P1,4,3,8,8,1
chain,82_t0,82,mt_bench:82,mt_bench,0,42,4,2,P2,2,1,8,12,1
chain,82_t0,82,mt_bench:82,mt_bench,0,42,5,1,P1,9,8,8,14,1
chain,82_t0,82,mt_bench:82,mt_bench,0,42,6,1,P1,3,2,8,23,1
chain,82_t0,82,mt_bench:82,mt_bench,0,42,7,2,P2,5,4,8,26,1
chain,82_t0,82,mt_bench:82,mt_bench,0,42,8,2,P2,2,1,8,31,1
chain,82_t0,82,mt_bench:82,mt_bench,0,42,9,1,P1,2,1,8,33,1
chain,82_t0,82,mt_bench:82,mt_bench,0,42,10,2,P2,6,5,8,35,1
chain,82_t0,82,mt_bench:82,mt_bench,0,42,11,1,P1,4,3,8,41,1
chain,82_t0,82,mt_bench:82,mt_bench,0,42,12,0,Miss (fresh JIT),3,2,8,45,1
chain,82_t0,82,mt_bench:82,mt_bench,0,42,13,1,P1,2,1,8,48,0
chain,82_t1,82,mt_bench:82,mt_bench,1,42,0,0,Miss (fresh JIT),1,0,8,1,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,1,0,Miss (fresh JIT),3,2,8,2,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,2,1,P1,1,0,8,5,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,3,1,P1,1,0,8,6,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,4,2,P2,4,3,8,7,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,5,1,P1,2,1,8,11,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,6,2,P2,6,5,8,13,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,7,0,Miss (fresh JIT),1,0,8,19,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,8,1,P1,2,1,8,20,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,9,1,P1,2,1,8,22,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,10,2,P2,2,1,8,24,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,11,1,P1,3,2,8,26,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,12,2,P2,6,5,8,29,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,13,2,P2,9,8,8,35,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,14,1,P1,9,8,8,44,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,15,1,P1,2,1,8,53,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,16,2,P2,5,4,8,55,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,17,0,Miss (fresh JIT),4,3,8,60,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,18,1,P1,8,7,8,64,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,19,0,Miss (fresh JIT),3,2,8,72,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,20,2,P2,3,2,8,75,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,21,1,P1,8,7,8,78,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,22,0,Miss (fresh JIT),1,0,8,86,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,23,1,P1,9,8,8,87,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,24,1,P1,1,0,8,96,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,25,0,Miss (fresh JIT),5,4,8,97,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,26,1,P1,1,0,8,102,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,27,1,P1,7,6,8,103,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,28,2,P2,9,8,8,110,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,29,1,P1,2,1,8,119,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,30,0,Miss (fresh JIT),2,1,8,121,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,31,0,Miss (fresh JIT),3,2,8,123,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,32,1,P1,1,0,8,126,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,33,1,P1,8,7,8,127,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,34,2,P2,4,3,8,135,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,35,2,P2,3,2,8,139,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,36,1,P1,7,6,8,142,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,37,0,Miss (fresh JIT),9,8,8,149,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,38,1,P1,4,3,8,158,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,39,1,P1,8,7,8,162,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,40,1,P1,4,3,8,170,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,41,1,P1,3,2,8,174,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,42,0,Miss (fresh JIT),3,2,8,177,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,43,2,P2,1,0,8,180,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,44,1,P1,3,2,8,181,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,45,1,P1,3,2,8,184,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,46,2,P2,8,7,8,187,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,47,1,P1,8,7,8,195,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,48,1,P1,3,2,8,203,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,49,1,P1,5,4,8,206,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,50,2,P2,5,4,8,211,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,51,1,P1,1,0,8,216,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,52,2,P2,3,2,8,217,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,53,0,Miss (fresh JIT),1,0,8,220,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,54,1,P1,1,0,8,221,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,55,1,P1,4,3,8,222,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,56,1,P1,3,2,8,226,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,57,1,P1,1,0,8,229,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,58,1,P1,3,2,8,230,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,59,0,Miss (fresh JIT),1,0,8,233,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,60,1,P1,4,3,8,234,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,61,0,Miss (fresh JIT),7,6,8,238,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,62,1,P1,2,1,8,245,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,63,1,P1,3,2,8,247,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,64,1,P1,5,4,8,250,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,65,2,P2,5,4,8,255,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,66,1,P1,3,2,8,260,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,67,1,P1,6,5,8,263,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,68,1,P1,4,3,8,269,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,69,1,P1,1,0,8,273,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,70,1,P1,1,0,8,274,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,71,1,P1,1,0,8,275,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,72,1,P1,4,3,8,276,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,73,1,P1,9,8,8,280,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,74,1,P1,3,2,8,289,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,75,1,P1,3,2,8,292,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,76,1,P1,3,2,8,295,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,77,1,P1,5,4,8,298,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,78,0,Miss (fresh JIT),1,0,8,303,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,79,1,P1,6,5,8,304,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,80,1,P1,1,0,8,310,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,81,1,P1,3,2,8,311,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,82,1,P1,7,6,8,314,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,83,0,Miss (fresh JIT),4,3,8,321,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,84,1,P1,5,4,8,325,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,85,1,P1,9,8,8,330,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,86,0,Miss (fresh JIT),9,8,8,339,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,87,1,P1,7,6,8,348,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,88,1,P1,3,2,8,355,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,89,1,P1,2,1,8,358,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,90,1,P1,9,8,8,360,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,91,1,P1,1,0,8,369,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,92,1,P1,5,4,8,370,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,93,1,P1,9,8,8,375,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,94,1,P1,2,1,8,384,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,95,1,P1,1,0,8,386,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,96,1,P1,3,2,8,387,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,97,1,P1,9,8,8,390,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,98,1,P1,5,4,8,399,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,99,1,P1,9,8,8,404,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,100,1,P1,2,1,8,413,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,101,1,P1,9,8,8,415,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,102,1,P1,4,3,8,424,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,103,1,P1,9,8,8,428,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,104,1,P1,9,8,8,437,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,105,1,P1,9,8,8,446,1
chain,82_t1,82,mt_bench:82,mt_bench,1,42,106,1,P1,1,0,8,455,1
