arm,uid,question_key,group,event_index,source_id,source,cached_accepted_len,fresh_greedy_al,fresh_first_token_nll,fresh_first_token_rank,completion_offset
audit_tree,82_t0,mt_bench:82,mt_bench,0,0,Miss (fresh JIT),1,1,6.856973648071289,61,1
audit_tree,82_t0,mt_bench:82,mt_bench,1,0,Miss (fresh JIT),1,1,5.504083633422852,35,2
audit_tree,82_t0,mt_bench:82,mt_bench,2,2,P2,1,1,2.1469931602478027,3,3
audit_tree,82_t0,mt_bench:82,mt_bench,3,1,P1,3,2,0.9363426566123962,1,4
audit_tree,82_t0,mt_bench:82,mt_bench,4,2,P2,1,1,1.2569105625152588,2,7
audit_tree,82_t0,mt_bench:82,mt_bench,5,1,P1,2,7,0.09140650928020477,1,8
audit_tree,82_t0,mt_bench:82,mt_bench,6,1,P1,5,5,1.0204030275344849,1,10
audit_tree,82_t0,mt_bench:82,mt_bench,7,0,Miss (fresh JIT),3,2,0.49704575538635254,1,15
audit_tree,82_t0,mt_bench:82,mt_bench,8,0,Miss (fresh JIT),2,2,0.6919599771499634,1,18
audit_tree,82_t0,mt_bench:82,mt_bench,9,1,P1,9,7,1.396216869354248,1,20
audit_tree,82_t0,mt_bench:82,mt_bench,10,1,P1,5,2,1.30793035030365,1,29
audit_tree,82_t0,mt_bench:82,mt_bench,11,2,P2,2,2,0.22815094888210297,1,34
audit_tree,82_t0,mt_bench:82,mt_bench,12,1,P1,1,1,5.0267839431762695,13,36
audit_tree,82_t0,mt_bench:82,mt_bench,13,2,P2,5,1,3.142214059829712,5,37
audit_tree,82_t0,mt_bench:82,mt_bench,14,2,P2,4,3,0.0001567479339428246,1,42
audit_tree,82_t0,mt_bench:82,mt_bench,15,1,P1,9,2,1.0588319301605225,1,46
audit_tree,82_t0,mt_bench:82,mt_bench,16,0,Miss (fresh JIT),4,1,1.5551607608795166,2,55
audit_tree,82_t0,mt_bench:82,mt_bench,17,1,P1,4,3,0.4360730051994324,1,59
audit_tree,82_t0,mt_bench:82,mt_bench,18,1,P1,8,1,5.773965835571289,48,63
audit_tree,82_t0,mt_bench:82,mt_bench,19,1,P1,2,1,4.312419414520264,9,71
audit_tree,82_t0,mt_bench:82,mt_bench,20,1,P1,9,4,0.47711336612701416,1,73
audit_tree,82_t0,mt_bench:82,mt_bench,21,1,P1,1,1,4.998439788818359,17,82
audit_tree,82_t0,mt_bench:82,mt_bench,22,2,P2,2,2,0.7624151110649109,1,83
audit_tree,82_t0,mt_bench:82,mt_bench,23,1,P1,3,3,0.7084107398986816,1,85
audit_tree,82_t0,mt_bench:82,mt_bench,24,1,P1,1,1,2.9391396045684814,4,88
audit_tree,82_t0,mt_bench:82,mt_bench,25,1,P1,1,1,5.0225114822387695,4,89
audit_tree,82_t0,mt_bench:82,mt_bench,26,1,P1,3,3,0.015687745064496994,1,90
audit_tree,82_t0,mt_bench:82,mt_bench,27,2,P2,1,1,2.4602808952331543,2,93
audit_tree,82_t0,mt_bench:82,mt_bench,28,1,P1,2,2,0.07542464137077332,1,94
audit_tree,82_t0,mt_bench:82,mt_bench,29,1,P1,3,1,1.595908284187317,2,96
audit_tree,82_t0,mt_bench:82,mt_bench,30,0,Miss (fresh JIT),2,2,0.8628177046775818,1,99
audit_tree,82_t0,mt_bench:82,mt_bench,31,1,P1,2,1,4.352420330047607,10,101
audit_tree,82_t0,mt_bench:82,mt_bench,32,0,Miss (fresh JIT),4,3,0.014977502636611462,1,103
audit_tree,82_t0,mt_bench:82,mt_bench,33,2,P2,4,4,0.021548552438616753,1,107
audit_tree,82_t0,mt_bench:82,mt_bench,34,2,P2,3,2,0.9502308368682861,1,111
audit_tree,82_t0,mt_bench:82,mt_bench,35,0,Miss (fresh JIT),3,3,0.023876631632447243,1,114
audit_tree,82_t0,mt_bench:82,mt_bench,36,1,P1,9,2,1.1632945537567139,1,117
audit_tree,82_t1,mt_bench:82,mt_bench,0,0,Miss (fresh JIT),3,2,1.4582970142364502,1,1
audit_tree,82_t1,mt_bench:82,mt_bench,1,1,P1,4,1,1.6998943090438843,3,4
audit_tree,82_t1,mt_bench:82,mt_bench,2,0,Miss (fresh JIT),2,2,1.3649864196777344,1,8
audit_tree,82_t1,mt_bench:82,mt_bench,3,2,P2,1,2,0.8771815299987793,1,10
audit_tree,82_t1,mt_bench:82,mt_bench,4,1,P1,2,1,3.781588554382324,7,11
audit_tree,82_t1,mt_bench:82,mt_bench,5,0,Miss (fresh JIT),4,1,3.54677152633667,5,13
audit_tree,82_t1,mt_bench:82,mt_bench,6,2,P2,1,1,4.169851779937744,8,17
audit_tree,82_t1,mt_bench:82,mt_bench,7,2,P2,1,1,7.551310062408447,124,18
audit_tree,82_t1,mt_bench:82,mt_bench,8,2,P2,3,3,0.6890174150466919,1,19
audit_tree,82_t1,mt_bench:82,mt_bench,9,2,P2,1,1,3.0828802585601807,2,22
audit_tree,82_t1,mt_bench:82,mt_bench,10,1,P1,5,2,0.05540609732270241,1,23
audit_tree,82_t1,mt_bench:82,mt_bench,11,0,Miss (fresh JIT),1,6,0.23287804424762726,1,28
audit_tree,82_t1,mt_bench:82,mt_bench,12,1,P1,8,5,0.08455560356378555,1,29
audit_tree,82_t1,mt_bench:82,mt_bench,13,1,P1,2,1,5.657876491546631,44,37
audit_tree,82_t1,mt_bench:82,mt_bench,14,2,P2,3,2,0.2678631544113159,1,39
audit_tree,82_t1,mt_bench:82,mt_bench,15,1,P1,3,3,0.01863250508904457,1,42
audit_tree,82_t1,mt_bench:82,mt_bench,16,0,Miss (fresh JIT),2,2,0.36702418327331543,1,45
audit_tree,82_t1,mt_bench:82,mt_bench,17,1,P1,3,1,3.2914962768554688,8,47
audit_tree,82_t1,mt_bench:82,mt_bench,18,1,P1,2,2,0.485074907541275,1,50
audit_tree,82_t1,mt_bench:82,mt_bench,19,2,P2,2,2,0.5430235266685486,1,52
audit_tree,82_t1,mt_bench:82,mt_bench,20,0,Miss (fresh JIT),1,1,3.085767984390259,5,54
audit_tree,82_t1,mt_bench:82,mt_bench,21,2,P2,5,6,0.0024754139594733715,1,55
