arm,source,group,events,questions,question_mean_al,ci95_low,ci95_high
audit_tree,Miss (fresh JIT),mt_bench,59,3,3.212685185185185,2.5625,3.5555555555555554
audit_tree,Miss (fresh JIT),translation,0,0,nan,nan,nan
audit_tree,Miss (fresh JIT),summarization,0,0,nan,nan,nan
audit_tree,Miss (fresh JIT),qa,0,0,nan,nan,nan
audit_tree,Miss (fresh JIT),math_reasoning,0,0,nan,nan,nan
audit_tree,Miss (fresh JIT),rag,0,0,nan,nan,nan
audit_tree,P1,mt_bench,98,3,3.655994455994456,3.6,3.692307692307692
audit_tree,P1,translation,0,0,nan,nan,nan
audit_tree,P1,summarization,0,0,nan,nan,nan
audit_tree,P1,qa,0,0,nan,nan,nan
audit_tree,P1,math_reasoning,0,0,nan,nan,nan
audit_tree,P1,rag,0,0,nan,nan,nan
audit_tree,P2,mt_bench,67,3,2.5394571621752147,2.2857142857142856,2.8620689655172415
audit_tree,P2,translation,0,0,nan,nan,nan
audit_tree,P2,summarization,0,0,nan,nan,nan
audit_tree,P2,qa,0,0,nan,nan,nan
audit_tree,P2,math_reasoning,0,0,nan,nan,nan
audit_tree,P2,rag,0,0,nan,nan,nan
