arm,source,group,events,questions,question_mean_al,ci95_low,ci95_high
chain,Miss (fresh JIT),mt_bench,188,5,3.0183253588516745,2.463157894736842,3.5363101604278073
chain,Miss (fresh JIT),translation,142,5,3.016217116217116,2.574891774891775,3.4391608391608393
chain,Miss (fresh JIT),summarization,10,5,4.4,2.1,6.9
chain,Miss (fresh JIT),qa,75,5,4.211365787694389,3.0841108857336037,5.41
chain,Miss (fresh JIT),math_reasoning,78,5,3.743015873015873,2.8511111111111114,5.052380952380952
chain,Miss (fresh JIT),rag,155,5,3.5225168025168023,2.365925925925926,5.199342199342199
chain,P1,mt_bench,591,5,4.190140262260853,3.927614788962809,4.476218942648982
chain,P1,translation,301,5,4.451366490535735,3.2427637030376757,5.755745422842198
chain,P1,summarization,95,5,5.983453647416413,4.277203647416413,7.689228723404256
chain,P1,qa,311,5,4.644493284493285,4.058095238095238,5.23089133089133
chain,P1,math_reasoning,337,5,4.988708140656219,4.19390243902439,5.787535532776294
chain,P1,rag,358,5,5.086695429500045,3.371438693006585,6.801952165993507
chain,P2,mt_bench,239,5,3.5479744319218,3.109122807017544,4.0277492066965745
chain,P2,translation,106,5,4.295989304812834,2.7848357524828113,5.920779220779221
chain,P2,summarization,13,5,6.0,3.8,8.2
chain,P2,qa,66,5,4.394352941176471,3.28,5.503529411764705
chain,P2,math_reasoning,110,5,4.168220551378446,3.3072681704260654,5.311428571428571
chain,P2,rag,118,5,3.479640551872923,2.6578318283835274,4.684313725490196
tree,Miss (fresh JIT),mt_bench,172,5,3.341637492941841,3.0782608695652174,3.629090909090909
tree,Miss (fresh JIT),translation,100,5,3.3607282913165264,2.044761904761905,4.490756302521008
tree,Miss (fresh JIT),summarization,22,5,2.177777777777778,1.0,3.6
tree,Miss (fresh JIT),qa,68,5,3.722769151138716,3.2205383022774328,4.225
tree,Miss (fresh JIT),math_reasoning,48,5,3.177533960292581,2.433333333333333,3.798746081504702
tree,Miss (fresh JIT),rag,56,5,3.9478070175438598,2.8,4.981725146198831
tree,P1,mt_bench,437,5,4.3584623107885525,3.6223774075386976,5.094547214038408
tree,P1,translation,264,5,5.370604053204859,4.094131493506493,6.647076612903225
tree,P1,summarization,96,4,5.378027950310559,4.056547619047619,6.141666666666667
tree,P1,qa,339,5,5.868619197799815,5.388284632034631,6.372081070626441
tree,P1,math_reasoning,185,5,5.546432621142299,4.599281105990784,6.325904203323558
tree,P1,rag,277,5,6.816984149937994,5.815797914995991,7.89425287356322
tree,P2,mt_bench,211,5,3.5096015650399663,3.1774919001334094,3.8417112299465237
tree,P2,translation,65,5,4.0256410256410255,3.3274725274725276,4.885714285714286
tree,P2,summarization,19,4,3.19375,1.375,5.987500000000001
tree,P2,qa,66,5,5.24949494949495,4.386169386169387,6.28888888888889
tree,P2,math_reasoning,62,5,4.771521739130435,3.2316666666666665,7.023188405797102
tree,P2,rag,48,5,5.475,3.8357142857142863,7.542857142857143
