arm,uid,question_id,question_key,group,turn,seed,event_index,source_id,source,accepted_len,accepted_spec_len,valid_k,completion_offset,fully_observed
chain,88_t0,88,mt_bench:88,mt_bench,0,42,0,0,Miss (fresh JIT),2,1,8,1,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,1,1,P1,3,2,8,3,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,2,1,P1,2,1,8,6,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,3,1,P1,1,0,8,8,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,4,2,P2,2,1,8,9,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,5,2,P2,1,0,8,11,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,6,2,P2,2,1,8,12,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,7,1,P1,1,0,8,14,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,8,2,P2,1,0,8,15,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,9,0,Miss (fresh JIT),3,2,8,16,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,10,2,P2,1,0,8,19,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,11,0,Miss (fresh JIT),1,0,8,20,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,12,0,Miss (fresh JIT),1,0,8,21,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,13,1,P1,6,5,8,22,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,14,2,P2,9,8,8,28,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,15,2,P2,5,4,8,37,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,16,1,P1,1,0,8,42,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,17,2,P2,3,2,8,43,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,18,1,P1,3,2,8,46,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,19,1,P1,1,0,8,49,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,20,0,Miss (fresh JIT),3,2,8,50,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,21,2,P2,5,4,8,53,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,22,1,P1,2,1,8,58,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,23,1,P1,1,0,8,60,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,24,1,P1,2,1,8,61,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,25,1,P1,4,3,8,63,1
chain,88_t0,88,mt_bench:88,mt_bench,0,42,26,1,P1,3,2,8,67,1
