arm,source,group,events,questions,question_mean_al,ci95_low,ci95_high
chain,Miss (fresh JIT),mt_bench,188,5,3.0183253588516745,2.463157894736842,3.5363101604278073
chain,Miss (fresh JIT),translation,142,5,3.016217116217116,2.574891774891775,3.4391608391608393
chain,Miss (fresh JIT),summarization,10,5,4.4,2.1,6.9
chain,Miss (fresh JIT),qa,75,5,4.211365787694389,3.0841108857336037,5.41
chain,Miss (fresh JIT),math_reasoning,78,5,3.743015873015873,2.8511111111111114,5.052380952380952
chain,Miss (fresh JIT),rag,155,5,3.5225168025168023,2.365925925925926,5.199342199342199
chain,P1,mt_bench,591,5,4.190140262260853,3.927614788962809,4.476218942648982
chain,P1,translation,301,5,4.451366490535735,3.2427637030376757,5.755745422842198
chain,P1,summarization,95,5,5.983453647416413,4.277203647416413,7.689228723404256
chain,P1,qa,311,5,4.644493284493285,4.058095238095238,5.23089133089133
chain,P1,math_reasoning,337,5,4.988708140656219,4.19390243902439,5.787535532776294
chain,P1,rag,358,5,5.086695429500045,3.371438693006585,6.801952165993507
chain,P2,mt_bench,239,5,3.5479744319218,3.109122807017544,4.0277492066965745
chain,P2,translation,106,5,4.295989304812834,2.7848357524828113,5.920779220779221
chain,P2,summarization,13,5,6.0,3.8,8.2
chain,P2,qa,66,5,4.394352941176471,3.28,5.503529411764705
chain,P2,math_reasoning,110,5,4.168220551378446,3.3072681704260654,5.311428571428571
chain,P2,rag,118,5,3.479640551872923,2.6578318283835274,4.684313725490196
tree,Miss (fresh JIT),mt_bench,181,5,3.356211729924786,2.813159253945481,3.810848484848485
tree,Miss (fresh JIT),translation,54,5,3.598282828282828,2.4727272727272727,5.018484848484848
tree,Miss (fresh JIT),summarization,17,5,3.033333333333333,1.4333333333333331,4.633333333333334
tree,Miss (fresh JIT),qa,91,5,3.6907575757575755,2.807857142857143,4.721558441558441
tree,Miss (fresh JIT),math_reasoning,101,5,3.701172161172161,2.715897435897436,4.6297435897435895
tree,Miss (fresh JIT),rag,144,5,4.85297619047619,3.1708333333333334,6.988095238095238
tree,P1,mt_bench,546,5,4.890043977931302,4.142547030434354,5.922736418511066
tree,P1,translation,176,5,4.991597286692534,4.227398989898989,5.715418521427948
tree,P1,summarization,93,4,6.828003246753247,4.974431818181818,8.368506493506494
tree,P1,qa,298,5,5.334281334607422,4.488214285714285,6.259308807134895
tree,P1,math_reasoning,329,5,5.611447454387336,4.886484767820171,6.314670271093512
tree,P1,rag,305,5,5.328322681669096,3.773469735720375,7.008576231364836
tree,P2,mt_bench,227,5,3.8715277777777777,3.5456944444444445,4.228888888888889
tree,P2,translation,64,5,4.45442057942058,3.9976023976023973,4.8549450549450555
tree,P2,summarization,12,2,6.055555555555555,3.111111111111111,9.0
tree,P2,qa,94,5,4.116593567251462,3.7026315789473685,4.545833333333333
tree,P2,math_reasoning,108,5,3.4449753694581284,2.962068965517241,4.137142857142857
tree,P2,rag,65,5,3.6148272017837235,3.165551839464883,4.064102564102564
