subset,group,question_id,turns,reason,uids,prompt_tokens_max,accept_len,hit,p1_hit,p2_hit,miss,p1_al_spec_only,p2_al_spec_only
forensic,mt_bench,105,2,miss_heavy,"105_t0,105_t1",236.0,3.3488372093023258,0.6511627906976745,0.46511627906976744,0.18604651162790697,0.34883720930232553,3.6,2.375
forensic,mt_bench,106,2,high_p1_al,"106_t0,106_t1",81.0,6.659574468085107,0.9148936170212766,0.8297872340425532,0.0851063829787234,0.08510638297872342,6.512820512820513,2.25
forensic,mt_bench,107,2,p1_heavy,"107_t0,107_t1",69.0,6.8901098901098905,0.9505494505494505,0.8681318681318682,0.08241758241758242,0.0494505494505495,6.367088607594937,3.2666666666666666
forensic,mt_bench,113,2,high_total_al,"113_t0,113_t1",72.0,7.298701298701299,0.9090909090909091,0.8506493506493507,0.05844155844155844,0.09090909090909094,7.061068702290076,2.888888888888889
forensic,mt_bench,133,2,long_prompt,"133_t0,133_t1",434.0,4.828125,0.7578125,0.6484375,0.109375,0.2421875,4.885542168674699,2.3214285714285716
forensic,mt_bench,136,2,p2_heavy,"136_t0,136_t1",313.0,3.235294117647059,0.7941176470588235,0.4117647058823529,0.38235294117647056,0.20588235294117652,3.642857142857143,1.4615384615384615
forensic,mt_bench,139,2,low_total_al,"139_t0,139_t1",170.0,1.8571428571428572,0.5714285714285714,0.21428571428571427,0.35714285714285715,0.4285714285714286,1.3333333333333333,0.8
forensic,mt_bench,143,2,median_behavior,"143_t0,143_t1",48.0,4.203125,0.8333333333333334,0.640625,0.19270833333333334,0.16666666666666663,4.08130081300813,1.9189189189189189
forensic,mt_bench,155,2,low_p1_al,"155_t0,155_t1",27.0,2.893617021276596,0.6808510638297872,0.3617021276595745,0.3191489361702128,0.3191489361702128,2.0,2.1333333333333333
forensic,mt_bench,98,2,high_p2_al,"98_t0,98_t1",46.0,6.0469208211143695,0.8592375366568915,0.7214076246334311,0.1378299120234604,0.1407624633431085,5.869918699186992,3.148936170212766
forensic,translation,170,1,median_behavior,170_t0,30.0,4.413793103448276,0.853448275862069,0.7068965517241379,0.14655172413793102,0.14655172413793105,3.957317073170732,2.3529411764705883
forensic,translation,186,1,p1_heavy,186_t0,53.0,8.094488188976378,0.9763779527559056,0.952755905511811,0.023622047244094488,0.023622047244094446,7.305785123966942,3.6666666666666665
forensic,translation,193,1,high_p2_al,193_t0,22.0,4.5,0.6111111111111112,0.5555555555555556,0.05555555555555555,0.38888888888888884,4.6,4.0
forensic,translation,203,1,long_prompt,203_t0,112.0,7.138888888888889,0.9722222222222222,0.9027777777777778,0.06944444444444445,0.02777777777777779,6.569230769230769,2.4
forensic,translation,209,1,p2_heavy,209_t0,30.0,3.782608695652174,0.8260869565217391,0.4782608695652174,0.34782608695652173,0.17391304347826086,3.4545454545454546,2.625
forensic,translation,210,1,high_total_al,210_t0,27.0,8.677966101694915,0.9915254237288136,0.9830508474576272,0.00847457627118644,0.008474576271186418,7.801724137931035,1.0
forensic,translation,211,1,high_p1_al,211_t0,59.0,7.588235294117647,0.9117647058823529,0.8529411764705882,0.058823529411764705,0.08823529411764708,7.327586206896552,2.625
forensic,translation,229,1,low_p1_al,229_t0,37.0,2.0,0.75,0.5833333333333334,0.16666666666666666,0.25,0.7142857142857143,2.0
forensic,translation,230,1,low_total_al,230_t0,43.0,1.0,0.0,0.0,0.0,1.0,nan,nan
forensic,translation,239,1,miss_heavy,239_t0,21.0,3.2222222222222223,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.5555555555555556,4.0,2.0
forensic,summarization,244,1,low_total_al,244_t0,1005.0,1.0,0.0,0.0,0.0,1.0,nan,nan
forensic,summarization,245,1,miss_heavy,245_t0,453.0,1.0,0.0,0.0,0.0,1.0,nan,nan
forensic,summarization,246,1,low_p1_al,246_t0,854.0,1.8181818181818181,0.6363636363636364,0.18181818181818182,0.45454545454545453,0.36363636363636365,1.0,1.2
forensic,summarization,247,1,median_behavior,247_t0,763.0,3.511627906976744,0.7674418604651163,0.5465116279069767,0.22093023255813954,0.2325581395348837,2.702127659574468,2.526315789473684
forensic,summarization,287,1,high_p2_al,287_t0,368.0,7.575757575757576,0.9696969696969697,0.8787878787878788,0.09090909090909091,0.030303030303030276,7.068965517241379,4.0
forensic,summarization,301,1,high_total_al,301_t0,712.0,8.563218390804598,0.9885057471264368,0.9655172413793104,0.022988505747126436,0.011494252873563204,7.75,3.5
forensic,summarization,303,1,p1_heavy,303_t0,801.0,8.435643564356436,0.9702970297029703,0.9702970297029703,0.0,0.02970297029702973,7.6020408163265305,nan
forensic,summarization,313,1,high_p1_al,313_t0,553.0,8.441176470588236,0.9852941176470589,0.9558823529411765,0.029411764705882353,0.014705882352941124,7.661538461538462,4.0
forensic,summarization,316,1,p2_heavy,316_t0,1564.0,2.3219954648526078,0.9750566893424036,0.2290249433106576,0.746031746031746,0.024943310657596363,5.00990099009901,0.16717325227963525
forensic,summarization,317,1,long_prompt,317_t0,1734.0,1.5875968992248062,0.9426356589147287,0.15503875968992248,0.7875968992248062,0.05736434108527133,2.15,0.1968503937007874
forensic,qa,329,1,p2_heavy,329_t0,11.0,3.84,0.8,0.44,0.36,0.19999999999999996,3.272727272727273,2.6666666666666665
forensic,qa,351,1,median_behavior,351_t0,14.0,4.71889400921659,0.8571428571428571,0.6912442396313364,0.16589861751152074,0.1428571428571429,4.326666666666667,2.5
forensic,qa,355,1,high_p1_al,355_t0,16.0,7.461538461538462,0.9230769230769231,0.8461538461538461,0.07692307692307693,0.07692307692307687,7.2727272727272725,4.0
forensic,qa,361,1,long_prompt,361_t0,21.0,3.467889908256881,0.6788990825688074,0.5045871559633027,0.1743119266055046,0.3211009174311926,3.309090909090909,1.736842105263158
forensic,qa,378,1,low_total_al,378_t0,12.0,2.792452830188679,0.7358490566037735,0.41509433962264153,0.32075471698113206,0.26415094339622647,1.9545454545454546,1.588235294117647
forensic,qa,382,1,high_p2_al,382_t0,15.0,6.636363636363637,0.8909090909090909,0.8363636363636363,0.05454545454545454,0.10909090909090913,6.043478260869565,4.0
forensic,qa,384,1,high_total_al,384_t0,17.0,8.19047619047619,0.9603174603174603,0.9365079365079365,0.023809523809523808,0.03968253968253965,7.440677966101695,4.0
forensic,qa,385,1,p1_heavy,385_t0,13.0,7.854961832061068,0.9694656488549618,0.9236641221374046,0.04580152671755725,0.03053435114503822,7.2809917355371905,1.8333333333333333
forensic,qa,389,1,miss_heavy,389_t0,15.0,2.9261363636363638,0.5767045454545454,0.4318181818181818,0.14488636363636365,0.4232954545454546,2.763157894736842,1.6862745098039216
forensic,qa,391,1,low_p1_al,391_t0,11.0,3.156862745098039,0.7843137254901961,0.46078431372549017,0.3235294117647059,0.21568627450980393,2.425531914893617,1.8484848484848484
