proc,label,mean,median,p95,n
draft,draft_glue_replay,1.617,1.623,1.633,12869
draft,draft_recv_cmd,0.286,0.052,1.101,12871
draft,draft_send_response,0.146,0.182,0.199,12869
draft,glue,2.069,2.074,2.09,12869
draft,hit_cache_respond,4.915,0.651,13.207,12869
draft,tree_prep,0.358,0.11,1.808,90113
draft,tree_replay,3.559,3.639,3.659,90113
target,target_postprocess,0.09,0.065,0.197,12869
target,target_spec_wait,7.216,3.291,16.148,12869
target,verify_replay,22.474,22.486,23.212,12869
target,verify_sample_accept,5.17,5.374,5.558,12869
