proc,label,mean,median,p95,n
draft,draft_glue_replay,1.616,1.622,1.632,12851
draft,draft_recv_cmd,0.312,0.052,1.232,12853
draft,draft_send_response,0.144,0.181,0.198,12851
draft,glue,2.064,2.068,2.087,12851
draft,hit_cache_respond,5.06,0.635,13.176,12851
draft,tree_prep,0.348,0.11,1.758,89987
draft,tree_replay,3.558,3.641,3.658,89987
target,target_postprocess,0.087,0.065,0.195,12851
target,target_spec_wait,7.324,3.165,16.192,12851
target,verify_replay,22.475,22.461,23.324,12851
target,verify_sample_accept,5.234,5.468,5.616,12851
