proc,label,mean,median,p95,n
draft,draft_glue_replay,3.481,3.484,3.504,12215
draft,draft_recv_cmd,5.637,5.474,7.585,12217
draft,draft_send_response,0.144,0.175,0.187,12215
draft,glue,3.923,3.926,3.951,12215
draft,hit_cache_respond,8.173,0.585,25.421,12215
draft,tree_prep,0.325,0.105,1.637,85535
draft,tree_replay,4.621,4.701,4.733,85535
target,target_postprocess,0.061,0.045,0.143,12215
target,target_spec_wait,9.363,1.791,26.423,12215
target,verify_replay,39.72,39.723,40.098,12215
target,verify_sample_accept,3.966,3.909,5.244,12215
