proc,label,mean,median,p95,n
draft,draft_glue_replay,3.493,3.498,3.514,12718
draft,draft_recv_cmd,3.12,2.89,4.884,12720
draft,draft_send_response,0.164,0.207,0.225,12718
draft,glue,4.018,4.021,4.045,12718
draft,hit_cache_respond,9.077,0.793,25.623,12718
draft,tree_prep,0.436,0.129,2.242,89056
draft,tree_replay,4.645,4.718,4.749,89056
target,target_postprocess,0.048,0.035,0.117,12718
target,target_spec_wait,10.265,2.033,26.604,12718
target,verify_replay,39.698,39.709,40.012,12718
target,verify_sample_accept,3.233,3.129,4.463,12718
