proc,label,mean,median,p95,n
draft,draft_glue_replay,1.598,1.604,1.614,14261
draft,draft_recv_cmd,7.319,7.079,9.027,14263
draft,draft_send_response,0.159,0.182,0.203,14261
draft,glue,2.476,2.473,2.533,14261
draft,hit_cache_respond,2.519,0.609,9.529,14261
draft,merge_cache,0.046,0.046,0.052,14261
draft,phase1_build,0.155,0.157,0.166,14261
draft,phase1_prep,0.392,0.127,1.458,71325
draft,phase1_replay,2.298,2.334,2.516,71325
draft,phase2_build,1.444,1.382,1.628,14261
draft,phase2_prep,0.372,0.108,1.44,71325
draft,phase2_replay,2.405,2.477,2.553,71325
draft,proxy_wait,7.915,7.798,9.743,14261
target,exit_logits,1.208,1.176,1.443,14261
target,final_logits,0.333,0.33,0.34,14261
target,graph_post,17.078,17.031,17.377,14261
target,graph_pre,19.661,19.592,20.39,14261
target,proxy_compute_send,2.508,2.614,3.199,14261
target,target_postprocess,0.068,0.047,0.161,14261
target,target_spec_wait,3.865,1.896,10.613,14261
target,verify_sample_accept,4.756,4.853,5.707,14261
target,verify_setup,0.391,0.404,0.557,14261
