proc,label,mean,median,p95,n
draft,draft_glue_replay,3.511,3.515,3.531,14036
draft,draft_recv_cmd,0.225,0.047,0.051,14038
draft,draft_send_response,0.15,0.166,0.182,14036
draft,glue,4.366,4.366,4.402,14036
draft,hit_cache_respond,3.712,0.577,18.36,14036
draft,merge_cache,0.042,0.042,0.044,14036
draft,phase1_build,0.154,0.156,0.165,14036
draft,phase1_prep,0.369,0.122,1.337,70200
draft,phase1_replay,4.12,4.155,4.333,70200
draft,phase2_build,1.332,1.28,1.489,14036
draft,phase2_prep,0.358,0.103,1.392,70200
draft,phase2_replay,4.183,4.255,4.342,70200
draft,proxy_wait,0.373,0.002,1.673,14036
target,exit_logits,1.153,1.035,1.332,14036
target,final_logits,0.332,0.331,0.334,14036
target,graph_post,13.873,13.881,13.928,14036
target,graph_pre,22.777,22.8,23.099,14036
target,proxy_compute_send,2.253,2.14,3.097,14036
target,target_postprocess,0.057,0.041,0.149,14036
target,target_spec_wait,11.634,8.786,27.015,14036
target,verify_sample_accept,3.692,3.723,4.598,14036
target,verify_setup,0.277,0.257,0.364,14036
