proc,label,mean,median,p95,n
draft,draft_glue_replay,1.605,1.614,1.625,6984
draft,draft_recv_cmd,15.531,15.371,17.552,6986
draft,draft_send_response,0.144,0.178,0.199,6984
draft,glue,2.055,2.061,2.084,6984
draft,hit_cache_respond,4.868,0.622,13.116,6984
draft,tree_prep,0.355,0.11,1.792,48918
draft,tree_replay,3.599,3.714,3.744,48918
target,target_postprocess,0.054,0.047,0.074,6984
target,target_spec_wait,6.178,1.976,14.251,6984
target,verify_replay,39.795,39.6,41.776,6984
target,verify_sample_accept,4.832,4.905,5.887,6984
