proc,label,mean,median,p95,n
draft,draft_glue_replay,1.595,1.604,1.613,7631
draft,draft_recv_cmd,0.284,0.049,0.055,7633
draft,draft_send_response,0.153,0.169,0.185,7631
draft,glue,2.465,2.471,2.501,7631
draft,hit_cache_respond,2.077,0.614,9.528,7631
draft,merge_cache,0.061,0.061,0.062,7631
draft,phase1_build,0.162,0.162,0.176,7631
draft,phase1_prep,0.388,0.127,1.423,38175
draft,phase1_replay,2.19,2.171,2.44,38175
draft,phase2_build,1.461,1.406,1.645,7631
draft,phase2_prep,0.374,0.11,1.437,38175
draft,phase2_replay,4.39,4.404,4.561,38175
draft,proxy_wait,10.03,9.989,11.395,7631
target,exit_logits,1.077,1.073,1.319,7631
target,final_logits,0.337,0.337,0.343,7631
target,graph_post,14.312,14.294,14.369,7631
target,graph_pre,23.073,23.012,23.486,7631
target,proxy_compute_send,1.22,1.127,1.88,7631
target,target_postprocess,0.039,0.033,0.05,7631
target,target_spec_wait,11.037,9.796,18.7,7631
target,verify_sample_accept,3.094,3.032,4.023,7631
target,verify_setup,0.254,0.24,0.326,7631
