proc,label,mean,median,p95,n
draft,draft_glue_replay,1.591,1.599,1.614,7337
draft,draft_recv_cmd,7.87,7.655,9.288,7339
draft,draft_send_response,0.147,0.169,0.189,7337
draft,glue,2.465,2.47,2.503,7337
draft,hit_cache_respond,2.571,0.563,9.476,7337
draft,merge_cache,0.046,0.045,0.051,7337
draft,phase1_build,0.151,0.153,0.164,7337
draft,phase1_prep,0.396,0.124,1.432,36705
draft,phase1_replay,2.18,2.163,2.442,36705
draft,phase2_build,1.396,1.338,1.586,7337
draft,phase2_prep,0.359,0.109,1.397,36705
draft,phase2_replay,2.295,2.289,2.544,36705
draft,proxy_wait,9.706,9.701,11.436,7337
target,exit_logits,1.185,1.19,1.347,7337
target,final_logits,0.337,0.333,0.337,7337
target,graph_post,16.964,16.977,17.052,7337
target,graph_pre,19.501,19.439,20.046,7337
target,proxy_compute_send,3.83,3.856,4.441,7337
target,target_postprocess,0.047,0.044,0.063,7337
target,target_spec_wait,3.902,1.809,10.526,7337
target,verify_sample_accept,4.721,4.773,5.337,7337
target,verify_setup,0.376,0.404,0.431,7337
