proc,label,mean,median,p95,n
draft,draft_glue_replay,1.612,1.617,1.626,13306
draft,draft_recv_cmd,5.41,5.239,6.927,13308
draft,draft_send_response,0.154,0.176,0.193,13306
draft,glue,2.1,2.062,2.088,13306
draft,hit_cache_respond,2.857,0.627,11.352,13306
draft,tree_prep,0.366,0.114,1.632,79861
draft,tree_replay,5.314,5.373,5.389,79861
target,target_postprocess,0.053,0.041,0.132,13306
target,target_spec_wait,4.002,1.795,12.305,13306
target,verify_replay,37.787,37.761,38.291,13306
target,verify_sample_accept,3.746,3.723,5.101,13306
