proc,label,mean,median,p95,n
draft,draft_glue_replay,1.604,1.609,1.619,15628
draft,draft_recv_cmd,1.571,1.267,3.139,15630
draft,draft_send_response,0.188,0.211,0.232,15628
draft,glue,2.618,2.672,2.714,15628
draft,hit_cache_respond,1.653,0.79,7.914,15628
draft,merge_cache,0.037,0.037,0.039,15628
draft,phase1_build,0.151,0.152,0.16,15628
draft,phase1_prep,0.481,0.148,1.621,62527
draft,phase1_replay,2.261,2.305,2.493,62527
draft,phase2_build,1.699,1.692,2.07,15628
draft,phase2_prep,0.467,0.131,1.621,62527
draft,phase2_replay,2.425,2.491,2.579,62527
draft,proxy_wait,13.678,13.559,15.641,15628
target,exit_logits,1.428,1.391,1.579,15628
target,final_logits,0.336,0.336,0.346,15628
target,graph_post,10.885,10.886,10.943,15628
target,graph_pre,24.022,24.011,24.449,15628
target,proxy_compute_send,1.586,1.422,2.881,15628
target,target_postprocess,0.052,0.037,0.137,15628
target,target_spec_wait,2.915,1.991,8.871,15628
target,verify_sample_accept,3.387,3.308,4.143,15628
target,verify_setup,0.301,0.286,0.402,15628
