proc,label,mean,median,p95,n
draft,glue,4.384,4.377,4.463,1342
draft,merge_cache,0.037,0.037,0.039,1342
draft,phase1_build,0.181,0.182,0.196,1342
draft,phase1_prep,0.433,0.143,1.322,5383
draft,phase1_replay,3.846,3.85,3.927,5383
draft,phase2_build,1.438,1.425,1.541,1342
draft,phase2_prep,0.414,0.123,1.309,5383
draft,phase2_replay,4.629,4.676,4.711,5383
draft,proxy_wait,0.133,0.003,0.49,1342
target,exit_logits,0.42,0.421,0.428,1342
target,final_logits,0.427,0.427,0.435,1342
target,graph_post,17.233,17.232,17.286,1342
target,graph_pre,20.451,20.43,20.587,1342
target,proxy_compute_send,0.65,0.653,0.73,1342
target,verify_sample_accept,2.084,2.075,2.192,1342
target,verify_setup,0.229,0.227,0.243,1342
