proc,label,mean,median,p95,n
draft,glue,4.371,4.37,4.398,1437
draft,merge_cache,0.037,0.037,0.039,1437
draft,phase1_build,0.183,0.185,0.197,1437
draft,phase1_prep,0.407,0.133,1.243,5763
draft,phase1_replay,3.843,3.84,3.931,5763
draft,phase2_build,1.352,1.349,1.408,1437
draft,phase2_prep,0.384,0.11,1.227,5763
draft,phase2_replay,4.608,4.653,4.697,5763
draft,proxy_wait,6.115,6.09,6.596,1437
target,exit_logits,0.389,0.389,0.397,1437
target,final_logits,0.368,0.369,0.373,1437
target,graph_post,11.128,11.127,11.169,1437
target,graph_pre,26.475,26.452,26.614,1437
target,proxy_compute_send,0.631,0.643,0.721,1437
target,target_postprocess,0.044,0.024,0.085,1437
target,target_spec_wait,12.23,9.722,23.549,1437
target,verify_sample_accept,2.036,2.027,2.11,1437
target,verify_setup,0.227,0.225,0.234,1437
