proc,label,mean,median,p95,n
draft,draft_glue_replay,3.498,3.503,3.517,13763
draft,draft_recv_cmd,9.383,9.055,10.945,13765
draft,draft_send_response,0.157,0.199,0.225,13763
draft,glue,4.018,4.03,4.056,13763
draft,hit_cache_respond,7.884,0.804,22.035,13763
draft,tree_prep,0.442,0.134,2.091,82603
draft,tree_replay,4.594,4.681,4.704,82603
target,target_postprocess,0.037,0.025,0.092,13763
target,target_spec_wait,8.983,1.928,22.936,13763
target,verify_replay,41.783,41.778,42.01,13763
target,verify_sample_accept,2.233,2.211,2.331,13763
