proc,label,mean,median,p95,n
draft,draft_glue_replay,3.549,3.553,3.573,13212
draft,draft_recv_cmd,0.229,0.047,0.054,13214
draft,draft_send_response,0.163,0.174,0.214,13212
draft,glue,4.443,4.419,4.646,13212
draft,hit_cache_respond,4.041,0.636,21.932,13212
draft,merge_cache,0.044,0.044,0.045,13212
draft,phase1_build,0.191,0.191,0.211,13212
draft,phase1_prep,0.403,0.146,1.672,79297
draft,phase1_replay,3.846,3.851,3.971,79297
draft,phase2_build,1.48,1.446,1.737,13212
draft,phase2_prep,0.379,0.126,1.665,79297
draft,phase2_replay,4.225,4.287,4.367,79297
draft,proxy_wait,0.446,0.255,1.321,13212
target,exit_logits,0.444,0.407,0.415,13212
target,final_logits,0.419,0.42,0.425,13212
target,graph_post,12.267,12.268,12.316,13212
target,graph_pre,29.388,29.355,29.746,13212
target,proxy_compute_send,0.667,0.658,0.737,13212
target,target_postprocess,0.034,0.023,0.085,13212
target,target_spec_wait,20.107,16.975,38.106,13212
target,verify_sample_accept,2.097,2.05,2.155,13212
target,verify_setup,0.227,0.225,0.236,13212
