proc,label,mean,median,p95,n
draft,draft_glue_replay,3.513,3.518,3.536,12711
draft,draft_recv_cmd,6.846,6.601,8.624,12713
draft,draft_send_response,0.141,0.177,0.187,12711
draft,glue,3.958,3.962,3.981,12711
draft,hit_cache_respond,8.976,0.613,25.464,12711
draft,tree_prep,0.341,0.11,1.709,89007
draft,tree_replay,4.637,4.723,4.741,89007
target,target_postprocess,0.034,0.024,0.077,12711
target,target_spec_wait,9.948,1.596,26.262,12711
target,verify_replay,43.784,43.579,44.396,12711
target,verify_sample_accept,2.093,2.066,2.135,12711
