proc,label,mean,median,p95,n
draft,draft_glue_replay,3.518,3.523,3.54,12742
draft,draft_recv_cmd,6.752,6.36,8.266,12744
draft,draft_send_response,0.143,0.178,0.196,12742
draft,glue,3.973,3.976,3.999,12742
draft,hit_cache_respond,9.166,0.646,25.454,12742
draft,tree_prep,0.355,0.112,1.793,89224
draft,tree_replay,4.637,4.717,4.747,89224
target,target_postprocess,0.038,0.026,0.091,12742
target,target_spec_wait,10.178,1.669,26.292,12742
target,verify_replay,43.503,43.512,43.74,12742
target,verify_sample_accept,2.275,2.234,2.318,12742
