proc,label,mean,median,p95,n
draft,draft_glue_replay,3.543,3.547,3.565,14228
draft,draft_recv_cmd,0.22,0.048,0.053,14230
draft,draft_send_response,0.158,0.175,0.195,14228
draft,glue,4.441,4.444,4.475,14228
draft,hit_cache_respond,3.638,0.613,18.378,14228
draft,merge_cache,0.042,0.042,0.044,14228
draft,phase1_build,0.207,0.205,0.23,14228
draft,phase1_prep,0.4,0.138,1.443,71160
draft,phase1_replay,4.191,4.235,4.397,71160
draft,phase2_build,1.422,1.333,1.544,14228
draft,phase2_prep,0.358,0.109,1.385,71160
draft,phase2_replay,4.19,4.262,4.347,71160
draft,proxy_wait,0.021,0.003,0.005,14228
target,exit_logits,0.399,0.38,0.39,14228
target,final_logits,0.379,0.379,0.385,14228
target,graph_post,18.484,18.487,18.547,14228
target,graph_pre,22.279,22.228,22.719,14228
target,proxy_compute_send,0.762,0.758,0.833,14228
target,target_postprocess,0.036,0.025,0.094,14228
target,target_spec_wait,11.947,9.838,27.618,14228
target,verify_sample_accept,2.237,2.196,2.293,14228
target,verify_setup,0.239,0.227,0.359,14228
